Time	A1	A1Ia	A2	A2Ia	A3	A3Ia	A4	A4Ia	A5	A5Ia	A6	A6Ia	
0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.002	-0.07	5.545133E-11	-0.07	3.365143E-11	-0.07	8.120267E-12	-0.07	8.117772E-12	-0.07	3.363925E-11	-0.07	5.543124E-11	
0.004	-0.06998891	5.565725E-11	-0.06999327	3.377639E-11	-0.06999838	8.15025E-12	-0.06999838	8.145815E-12	-0.06999327	3.375475E-11	-0.06998891	5.562155E-11	
0.006	-0.069978	5.565814E-11	-0.06998665	3.377693E-11	-0.06999678	8.150366E-12	-0.06999678	8.145771E-12	-0.06998666	3.37545E-11	-0.06997801	5.562114E-11	
0.008	-0.06996731	5.565735E-11	-0.06998016	3.377645E-11	-0.06999521	8.150253E-12	-0.06999522	8.145675E-12	-0.06998017	3.375412E-11	-0.06996733	5.56205E-11	
0.01	-0.06995683	5.565687E-11	-0.0699738	3.377616E-11	-0.06999368	8.150183E-12	-0.06999368	8.145618E-12	-0.06997382	3.375388E-11	-0.06995685	5.562012E-11	
0.012	-0.06994656	5.56566E-11	-0.06996757	3.3776E-11	-0.06999218	8.150145E-12	-0.06999218	8.145581E-12	-0.06996759	3.375373E-11	-0.06994659	5.561987E-11	
0.014	-0.0699365	5.565644E-11	-0.06996147	3.37759E-11	-0.0699907	8.15012E-12	-0.06999071	8.145559E-12	-0.06996149	3.375364E-11	-0.06993654	5.561972E-11	
0.016	-0.06992664	5.565634E-11	-0.06995548	3.377584E-11	-0.06998926	8.150106E-12	-0.06998926	8.145544E-12	-0.06995551	3.375358E-11	-0.06992669	5.561962E-11	
0.018	-0.06991698	5.565627E-11	-0.06994961	3.37758E-11	-0.06998784	8.150096E-12	-0.06998785	8.145535E-12	-0.06994965	3.375354E-11	-0.06991703	5.561955E-11	
0.02	-0.0699075	5.565623E-11	-0.06994387	3.377578E-11	-0.06998646	8.15009E-12	-0.06998646	8.145529E-12	-0.0699439	3.375351E-11	-0.06990756	5.561951E-11	
0.022	-0.06989823	5.56562E-11	-0.06993823	3.377576E-11	-0.0699851	8.150087E-12	-0.06998511	8.145526E-12	-0.06993827	3.37535E-11	-0.06989828	5.561949E-11	
0.024	-0.06988913	5.565619E-11	-0.06993271	3.377575E-11	-0.06998377	8.150084E-12	-0.06998377	8.145522E-12	-0.06993276	3.375349E-11	-0.0698892	5.561947E-11	
0.026	-0.06988022	5.565617E-11	-0.0699273	3.377574E-11	-0.06998246	8.150082E-12	-0.06998247	8.145521E-12	-0.06992735	3.375349E-11	-0.06988029	5.561946E-11	
0.028	-0.06987148	5.565617E-11	-0.06992201	3.377574E-11	-0.06998118	8.15008E-12	-0.06998119	8.14552E-12	-0.06992205	3.375348E-11	-0.06987156	5.561946E-11	
0.03	-0.06986292	5.565617E-11	-0.06991681	3.377574E-11	-0.06997993	8.15008E-12	-0.06997994	8.145519E-12	-0.06991686	3.375348E-11	-0.06986301	5.561945E-11	
0.032	-0.06985453	5.565616E-11	-0.06991172	3.377573E-11	-0.0699787	8.15008E-12	-0.06997871	8.145519E-12	-0.06991178	3.375348E-11	-0.06985462	5.561945E-11	
0.034	-0.0698463	5.565616E-11	-0.06990673	3.377573E-11	-0.06997749	8.15008E-12	-0.06997751	8.145519E-12	-0.06990679	3.375347E-11	-0.06984641	5.561945E-11	
0.036	-0.06983825	5.565616E-11	-0.06990184	3.377573E-11	-0.06997631	8.15008E-12	-0.06997633	8.145519E-12	-0.0699019	3.375348E-11	-0.06983835	5.561945E-11	
0.038	-0.06983035	5.565616E-11	-0.06989705	3.377573E-11	-0.06997516	8.15008E-12	-0.06997517	8.145519E-12	-0.06989712	3.375348E-11	-0.06983046	5.561945E-11	
0.04	-0.06982262	5.565616E-11	-0.06989235	3.377573E-11	-0.06997403	8.15008E-12	-0.06997404	8.145519E-12	-0.06989242	3.375347E-11	-0.06982273	5.561944E-11	
0.042	-0.06981503	5.565616E-11	-0.06988775	3.377573E-11	-0.06997292	8.15008E-12	-0.06997293	8.145519E-12	-0.06988782	3.375347E-11	-0.06981515	5.561944E-11	
0.044	-0.0698076	5.565616E-11	-0.06988324	3.377573E-11	-0.06997182	8.15008E-12	-0.06997184	8.145518E-12	-0.06988332	3.375347E-11	-0.06980772	5.561944E-11	
0.046	-0.06980032	5.565616E-11	-0.06987882	3.377573E-11	-0.06997076	8.15008E-12	-0.06997077	8.145519E-12	-0.0698789	3.375348E-11	-0.06980044	5.561944E-11	
0.048	-0.06979318	5.565616E-11	-0.06987449	3.377573E-11	-0.06996971	8.15008E-12	-0.06996973	8.145519E-12	-0.06987457	3.375347E-11	-0.06979331	5.561945E-11	
0.05	-0.06978618	5.565616E-11	-0.06987024	3.377573E-11	-0.06996869	8.150079E-12	-0.06996871	8.145518E-12	-0.06987032	3.375348E-11	-0.06978633	5.561944E-11	
0.052	-0.06977933	5.565616E-11	-0.06986608	3.377573E-11	-0.06996769	8.15008E-12	-0.0699677	8.145518E-12	-0.06986617	3.375347E-11	-0.06977947	5.561944E-11	
0.054	-0.06977261	5.565616E-11	-0.06986201	3.377573E-11	-0.0699667	8.150079E-12	-0.06996672	8.145518E-12	-0.0698621	3.375347E-11	-0.06977276	5.561944E-11	
0.056	-0.06976603	5.565616E-11	-0.06985801	3.377573E-11	-0.06996574	8.15008E-12	-0.06996576	8.145517E-12	-0.0698581	3.375347E-11	-0.06976618	5.561944E-11	
0.058	-0.06975958	5.565616E-11	-0.0698541	3.377573E-11	-0.0699648	8.15008E-12	-0.06996481	8.145519E-12	-0.06985419	3.375347E-11	-0.06975973	5.561944E-11	
0.06	-0.06975325	5.565616E-11	-0.06985026	3.377573E-11	-0.06996386	8.15008E-12	-0.06996389	8.145519E-12	-0.06985036	3.375347E-11	-0.06975342	5.561944E-11	
0.062	-0.06974705	5.565616E-11	-0.0698465	3.377573E-11	-0.06996296	8.15008E-12	-0.06996298	8.145519E-12	-0.0698466	3.375347E-11	-0.06974722	5.561944E-11	
0.064	-0.06974098	5.565616E-11	-0.06984282	3.377573E-11	-0.06996207	8.15008E-12	-0.06996209	8.145518E-12	-0.06984291	3.375347E-11	-0.06974115	5.561944E-11	
0.066	-0.06973504	5.565616E-11	-0.0698392	3.377573E-11	-0.0699612	8.150079E-12	-0.06996122	8.145518E-12	-0.06983931	3.375347E-11	-0.06973521	5.561944E-11	
0.068	-0.0697292	5.565616E-11	-0.06983566	3.377573E-11	-0.06996035	8.15008E-12	-0.06996037	8.145519E-12	-0.06983577	3.375347E-11	-0.06972938	5.561944E-11	
0.07	-0.06972349	5.565616E-11	-0.06983219	3.377573E-11	-0.06995951	8.15008E-12	-0.06995953	8.145518E-12	-0.0698323	3.375347E-11	-0.06972367	5.561944E-11	
0.072	-0.06971788	5.565616E-11	-0.06982879	3.377573E-11	-0.06995869	8.15008E-12	-0.06995871	8.145518E-12	-0.06982891	3.375348E-11	-0.06971807	5.561944E-11	
0.074	-0.06971239	5.565616E-11	-0.06982546	3.377573E-11	-0.06995788	8.15008E-12	-0.0699579	8.145518E-12	-0.06982557	3.375347E-11	-0.06971259	5.561944E-11	
0.07600001	-0.06970701	5.565616E-11	-0.0698222	3.377573E-11	-0.0699571	8.15008E-12	-0.06995712	8.145518E-12	-0.06982232	3.375347E-11	-0.06970721	5.561944E-11	
0.078	-0.06970175	5.565616E-11	-0.069819	3.377573E-11	-0.06995632	8.15008E-12	-0.06995635	8.145518E-12	-0.06981912	3.375347E-11	-0.06970194	5.561944E-11	
0.08000001	-0.06969658	5.565616E-11	-0.06981587	3.377573E-11	-0.06995557	8.15008E-12	-0.06995559	8.145519E-12	-0.06981599	3.375347E-11	-0.06969678	5.561944E-11	
0.082	-0.06969152	5.565616E-11	-0.06981279	3.377573E-11	-0.06995483	8.15008E-12	-0.06995485	8.145519E-12	-0.06981292	3.375347E-11	-0.06969172	5.561944E-11	
0.08400001	-0.06968655	5.565616E-11	-0.06980978	3.377573E-11	-0.0699541	8.15008E-12	-0.06995413	8.145519E-12	-0.06980991	3.375347E-11	-0.06968676	5.561944E-11	
0.086	-0.06968169	5.565616E-11	-0.06980683	3.377573E-11	-0.06995339	8.15008E-12	-0.06995341	8.145519E-12	-0.06980696	3.375347E-11	-0.0696819	5.561944E-11	
0.08800001	-0.06967693	5.565616E-11	-0.06980394	3.377573E-11	-0.06995269	8.15008E-12	-0.06995272	8.145519E-12	-0.06980406	3.375347E-11	-0.06967714	5.561944E-11	
0.09	-0.06967226	5.565616E-11	-0.06980111	3.377573E-11	-0.069952	8.15008E-12	-0.06995203	8.145519E-12	-0.06980123	3.375347E-11	-0.06967247	5.561944E-11	
0.09200001	-0.06966768	5.565616E-11	-0.06979833	3.377573E-11	-0.06995133	8.15008E-12	-0.06995136	8.145519E-12	-0.06979846	3.375347E-11	-0.0696679	5.561944E-11	
0.094	-0.0696632	5.565616E-11	-0.06979561	3.377573E-11	-0.06995068	8.15008E-12	-0.06995071	8.145519E-12	-0.06979574	3.375347E-11	-0.06966342	5.561944E-11	
0.096	-0.0696588	5.565616E-11	-0.06979294	3.377573E-11	-0.06995004	8.15008E-12	-0.06995007	8.145519E-12	-0.06979308	3.375347E-11	-0.06965902	5.561944E-11	
0.098	-0.06965449	5.565616E-11	-0.06979033	3.377573E-11	-0.0699494	8.15008E-12	-0.06994943	8.145519E-12	-0.06979046	3.375347E-11	-0.06965472	5.561944E-11	
0.1	-0.06965027	5.565616E-11	-0.06978776	3.377573E-11	-0.06994879	8.15008E-12	-0.06994881	8.145519E-12	-0.0697879	3.375347E-11	-0.0696505	5.561944E-11	
0.102	-0.06964613	5.565616E-11	-0.06978525	3.377573E-11	-0.06994818	8.15008E-12	-0.06994821	8.145519E-12	-0.06978539	3.375347E-11	-0.06964637	5.561944E-11	
0.104	-0.06964208	5.565616E-11	-0.06978279	3.377573E-11	-0.06994759	8.15008E-12	-0.06994762	8.145519E-12	-0.06978294	3.375347E-11	-0.06964232	5.561944E-11	
0.106	-0.06963811	5.565616E-11	-0.06978038	3.377573E-11	-0.069947	8.15008E-12	-0.06994703	8.145519E-12	-0.06978053	3.375347E-11	-0.06963835	5.561944E-11	
